icao24	time	lat	lon	geoaltitude
0	0	0.15586949716566845	0.9336943637736823	0.019980411361410388
1790	0	0.701999590497409	0.2668181342683816	0.27561214495592556
1801	0	0.8374722122862791	0.15744644715833409	0.016258570029382958
85	0	0.7679457655057083	0.2651574268856407	0.28188050930460334
1802	0	0.7541371191006684	0.2778462181702018	0.3627815866797258
1804	0	0.7551055154010917	0.2102832127487727	0.21057786483839377
1805	0	0.7669575173641175	0.274446902978455	0.28991185112634676
1806	0	0.753649581652869	0.2819860025883149	0.05484818805093046
84	0	0.808707127902618	0.6417768430611647	0.2742409402546523
1808	0	0.7092298277295286	0.1875233217532152	0.054652301665034285
1809	0	0.7169674259514828	0.18434554494766672	0.297747306562194
1810	0	0.604140484221214	0.8291139716065421	0.3000979431929481
1811	0	0.7753091006308719	0.2278548251631291	0.28795298726738494
1812	0	0.6681677375305871	0.2726288640887671	0.26836434867776693
1819	0	0.7254650751885655	0.28011326200812425	0.0952007835455436
1823	0	0.730686845193015	0.17604637604991197	0.31968658178256615
1824	0	0.7481001501474126	0.163242717671876	0.2791380999020568
1827	0	0.7378380075752674	0.2785874512171187	0.3110675808031343
1833	0	0.8144487388141578	0.15499468436491082	0.05915768854064643
1839	0	0.7270833822819884	0.28456208961778046	0.3044074436826641
1842	0	0.7599140473290674	0.28912090383503203	0.01449559255631734
1847	0	0.7513029044227022	0.28314465294090013	0.1572967678746328
1848	0	0.8405806809281983	0.15692743009325308	0.04897159647404505
1851	0	0.7743398129077874	0.2699295650837189	0.2807051909892263
1854	0	0.7719660463334191	0.2946146633667745	0.011949069539666995
1787	0	0.7027577242463376	0.22664197372075368	0.03604309500489717
1786	0	0.6910142919036092	0.2292113150243507	0.293437806072478
1784	0	0.6989144191159902	0.22963593031943444	0.03212536728697356
1780	0	0.7833240798708762	0.2563890238713375	0.13320274240940255
1714	0	0.7759260358601934	0.27070226067163694	0.2957884427032322
1715	0	0.7572758607391502	0.19809969985389317	0.315181194906954
1717	0	0.7147906567104376	0.25452516328392155	0.29735553379040164
1718	0	0.7470588835818347	0.19736458732006978	0.3002938295788443
1719	0	0.7405232202479498	0.15925173141846738	0.046229187071498534
1722	0	0.7103267869870771	0.17207408851594044	0.05132223310479922
1730	0	0.7417124700500556	0.24214337608046302	0.3069539666993144
89	0	0.8478422806734665	0.5163456582755379	0.26836434867776693
1735	0	0.646825869235611	0.2662396376342211	0.32732615083251715
1737	0	0.685440254302793	0.25871392731035026	0.1645445641527914
1738	0	0.782530331664201	0.2619228544742133	0.28285994123408426
1740	0	0.7661527324959239	0.20595665652632844	0.05563173359451518
1855	0	0.7288161310656192	0.26657731977717675	0.2593535749265427
1742	0	0.6986150355227333	0.18793678674862596	0.04720861900097944
1747	0	0.7711591885537992	0.28558360892182283	0.22703232125367287
1748	0	0.7439541857992678	0.15635962960386315	0.05308521057786484
88	0	0.8488041681735069	0.5361838997769188	0.267384916748286
1749	0	0.7762378427724417	0.27613820383470505	0.02389813907933399
1752	0	0.707759878836134	0.18612052682412794	0.020176297747306563
1757	0	0.7478764455081711	0.2102537546804944	0.30714985308521064
87	0	0.7222985862510606	0.5910886994293904	0.2722820763956905
1771	0	0.7472481481773121	0.1569241393118061	0.024877571008814887
86	0	0.7968219169080741	0.6487967545941705	0.29755142017629777
1778	0	0.7681959793569435	0.2562001602683505	0.03545543584720862
1743	0	0.7750126247734379	0.22858124106308098	0.054652301665034285
1859	0	0.7113536209952845	0.22271124024479153	0.21508325171400589
1870	0	0.8355788305540721	0.15848462523378198	0.02703232125367288
1946	0	0.7441463581305682	0.1573300840280301	0.024877571008814887
1947	0	0.7535097485663855	0.24651714172661573	0.013712047012732619
1951	0	0.7244689598882513	0.16395057445881892	0.2883447600391773
1952	0	0.814662305289325	0.15649129714931623	0.016846229187071505
75	0	0.8365704533671654	0.3123524023091656	0.3049951028403526
1954	0	0.7730179604474493	0.2980057592048672	0.2897159647404506
1961	0	0.6907260652431821	0.23000365633047268	0.24015670910871703
1963	0	0.7516839876103287	0.2592940317639448	0.2914789422135162
1965	0	0.7619664418845379	0.2620767811700347	0.30636630754162586
1970	0	0.7923094646496829	0.24694548357019716	0.3006856023506367
1971	0	0.743262696506432	0.18526547281552283	0.3020568070519099
1941	0	0.9624694716922048	0.07956031339913272	0.039569049951028404
1972	0	0.7863517403410871	0.2671800025507406	0.04211557296767875
1975	0	0.7665067121897826	0.20880794520797805	0.15514201762977473
1976	0	0.7557451606839225	0.15982681244421623	0.02899118511263467
1977	0	0.7767874048430187	0.29823136975064796	0.24466209598432911
74	0	0.8974881555928166	0.5887979252683702	0.2742409402546523
1981	0	0.8008978409042744	0.2549216368197448	0.22879529872673854
1982	0	0.7180430759625609	0.2623873183064691	0.29382957884427036
1983	0	0.7097159148468078	0.2300069254889828	0.1900097943192948
1984	0	0.6926694161678928	0.23156992261726442	0.06092066601371205
1987	0	0.7100334311089571	0.1861405302552541	0.05935357492654261
1988	0	0.7515600161873867	0.16120388268337588	0.029382957884427033
1989	0	0.7043295995387694	0.17226040092118922	0.07502448579823702
1991	0	0.721874495457427	0.22380951947844666	0.26307541625857006
1974	0	0.7283411301333397	0.16199581225995593	0.2168462291870715
1713	0	0.7077125343881326	0.2615833719814664	0.32184133202742415
1938	0	0.7166545790461298	0.16605934385648602	0.19353574926542608
1932	0	0.8660608374317373	0.502020948797583	0.29970617042115577
1872	0	0.7866830453553515	0.270788072840093	0.2944172380019589
1873	0	0.8178421514171806	0.15570933094286263	0.029578844270323215
1879	0	0.7009721622074275	0.22865040248624152	0.023702252693437807
1881	0	0.7876988427020405	0.2676927482102867	0.2942213516160627
1884	0	0.7470788344699646	0.1977515821713382	0.29245837414299714
1885	0	0.6905464577265336	0.2569910572187607	0.331439764936337
1886	0	0.7473721549741694	0.1650689495733159	0.1596474045053869
79	0	0.9013488646894048	0.5359363067601367	0.276003917727718
1891	0	0.8112816414453129	0.15998172388325071	0.3004897159647405
1892	0	0.7484653221480165	0.2843001675462863	0.15808031341821746
1896	0	0.739298837073343	0.2452721595952626	0.2920666013712047
1936	0	0.7033171839383664	0.23004589346336057	0.03565132223310481
1897	0	0.7188381400788786	0.16832924933532686	0.2969637610186092
1901	0	0.7352938802256639	0.16476331510110206	0.03134182174338884
1902	0	0.8819434423309073	0.014902144444020295	0.315181194906954
1909	0	0.7851571066290993	0.25251461314193274	0.3024485798237023
78	0	0.7848386211216757	0.2639126972520158	0.3104799216454457
1910	0	0.8136604664895438	0.157355246621206	0.30852105778648387
1913	0	0.700947711757294	0.1837081051290231	0.09637610186092067
1916	0	0.676143663968295	0.1798854960584207	0.3179236043095005
1917	0	0.7714793437100167	0.29411892241989723	0.09539666993143978
1921	0	0.8248772166099974	0.15778452560420927	0.21723800195886386
1924	0	0.7242107515321983	0.18096948199114757	0.31224289911851133
1929	0	0.8074005852727454	0.15558681020825663	0.30088148873653286
1930	0	0.9588519936360062	0.08040088768774618	0.0346718903036239
1898	0	0.7977959305862192	0.17304647632102577	0.046816846229187074
1992	0	0.7059753355659791	0.26460466704164665	0.11420176297747307
1708	0	0.8140541357161712	0.15466407128856585	0.03153770812928501
1705	0	0.7760086834754881	0.25235382309877497	0.20333006856023508
1502	0	0.707997167058783	0.1862895880807426	0.022331047992164548
1503	0	0.7078327491012887	0.1863182170861859	0.026248775710088147
1507	0	0.7056772325084498	0.18391292235416554	0.042899118511263476
1508	0	0.6999098481623509	0.1890144941850672	0.07522037218413322
1509	0	0.7750363960444011	0.25554451701611913	0.17002938295788442
1511	0	0.6419448703051129	0.269778002880997	0.27796278158667975
1516	0	0.7225303278438181	0.16762895419872728	0.1535749265426053
1517	0	0.737120058593919	0.22934490733658344	0.2752203721841332
1518	0	0.7086454506516868	0.2663506939844748	0.14064642507345743
1521	0	0.6717988062449761	0.26262680107154585	0.26190009794319297
1524	0	0.7360702669147964	0.2821355443677823	0.3192948090107738
1525	0	0.7511084893851832	0.26587338937964927	0.26816846229187075
1526	0	0.791692112008163	0.2682466616759499	0.28521057786483844
1529	0	0.7090712110941144	0.1680645001712596	0.08560235063663076
1531	0	0.7584007512400802	0.28541274090368707	0.08521057786483843
1544	0	0.806037734444779	0.1650708332865255	0.3002938295788443
1545	0	0.797767249415837	0.24900172738692308	0.02272282076395691
1547	0	0.7877246090618165	0.27783807703133223	0.26209598432908915
1548	0	0.7913880590581096	0.2909021863313894	0.13966699314397651
1551	0	0.7296502479842333	0.23145305205606517	0.026640548481880508
1554	0	0.7411996897764243	0.26228831815557646	0.2544564152791382
1562	0	0.7016909460131727	0.18892916341951468	0.06699314397649364
100	0	0.9620195154918326	0.6300527304783863	0.33183153770812934
1563	0	0.7034286329953547	0.1881410540440228	0.05014691478942214
104	0	0.8696317351165013	0.5368351214683911	0.03506366307541626
1501	0	0.7674237667897955	0.2570226669417533	0.2019588638589618
1498	0	0.7610949630367703	0.16068222237712076	0.34887365328109704
1496	0	0.7512778455412288	0.20419599751973166	0.30205680705190996
1453	0	0.7196150432271718	0.268619312211576	0.1786483839373164
1454	0	0.8244101323599223	0.1562041443768569	0.19882468168462292
1455	0	0.767770218914516	0.28884111390805445	0.1643486777668952
1456	0	0.7747777349022344	0.2399988436726265	0.30342801175318324
1458	0	0.7284337107440011	0.8932947294357415	0.3290891283055828
1462	0	0.7268863637243161	0.20267998011874036	0.06464250734573947
1463	0	0.7319591741721803	0.8832223565917457	0.27149853085210585
1468	0	0.7003915418393719	0.22705529017192283	0.1355533790401567
1473	0	0.7565325840345734	0.20374350662814766	0.3236043095004898
1475	0	0.7715678350960898	0.2331866644480782	0.2636630754162586
106	0	0.8978366594046141	0.6330241622832886	0.2566111655239961
1477	0	0.7199647285277345	0.2776123491633748	0.16807051909892262
1564	0	0.7029740711112337	0.18802753779874165	0.04289911851126347
1478	0	0.8251193156851032	0.156978470743031	0.08658178256611165
1483	0	0.7911152483498936	0.2667470837187432	0.3016650342801176
105	0	0.7993968549377504	0.5024794913516472	0.301077375122429
1484	0	0.6566091975674264	0.274922703756164	0.3302644466209599
1486	0	0.7205789611899406	0.16640214459151098	0.28050930460333007
1489	0	0.7040059140658227	0.1702796677554843	0.050342801175318336
1490	0	0.700946282651123	0.1878880041875571	0.11714005876591578
